epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1234.96,1.03793,0.85285,1.11716,0.73211,0.65609,0.72431,0.47583,1.13012,0.89557,1.15385,1.44161e-05,1.44161e-05,1.44161e-05
40,1266.27,1.03746,0.85121,1.11453,0.74493,0.64679,0.7245,0.47593,1.12287,0.89511,1.14851,1.23596e-05,1.23596e-05,1.23596e-05
41,1337.92,1.01772,0.82719,1.08677,0.75116,0.62665,0.70841,0.46023,1.16004,0.93058,1.17969,1.04537e-05,1.04537e-05,1.04537e-05
42,1368.83,1.00172,0.79385,1.07598,0.78004,0.61783,0.71105,0.46445,1.15302,0.92183,1.17883,8.70577e-06,8.70577e-06,8.70577e-06
43,1400.26,1.00049,0.79287,1.07721,0.7697,0.62062,0.71361,0.46545,1.14732,0.91863,1.17248,7.12282e-06,7.12282e-06,7.12282e-06
44,1430.97,0.99159,0.77539,1.06574,0.77529,0.62126,0.71493,0.46794,1.14171,0.91083,1.16858,5.71106e-06,5.71106e-06,5.71106e-06
45,1461.64,0.98853,0.77391,1.07033,0.77183,0.61654,0.71468,0.46834,1.14106,0.91017,1.16743,4.47606e-06,4.47606e-06,4.47606e-06
46,1492.88,0.98663,0.77418,1.06874,0.76993,0.62636,0.7172,0.46905,1.14006,0.91014,1.16776,3.4227e-06,3.4227e-06,3.4227e-06
47,1523.97,0.98281,0.76303,1.06353,0.77202,0.61734,0.71675,0.47047,1.13924,0.90761,1.16679,2.55513e-06,2.55513e-06,2.55513e-06
48,1555.28,0.97612,0.76365,1.06708,0.77748,0.62077,0.71475,0.46836,1.14212,0.91092,1.16883,1.87678e-06,1.87678e-06,1.87678e-06
49,1585.92,0.9882,0.76997,1.07038,0.77648,0.61783,0.71624,0.47007,1.13796,0.90682,1.16499,1.39032e-06,1.39032e-06,1.39032e-06
50,1616.96,0.98993,0.76651,1.06508,0.77865,0.61538,0.71616,0.46915,1.13953,0.90916,1.16529,1.09768e-06,1.09768e-06,1.09768e-06
