epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,594.991,1.26733,1.13857,1.27206,0.71718,0.56904,0.64857,0.39443,1.30885,1.11324,1.29445,0.000715761,0.000715761,0.000715761
20,625.815,1.26952,1.12524,1.2626,0.71419,0.55953,0.64214,0.39416,1.29917,1.12841,1.28463,0.000687222,0.000687222,0.000687222
21,656.339,1.24879,1.12109,1.26108,0.71206,0.57864,0.65904,0.40308,1.28712,1.09845,1.27983,0.000657963,0.000657963,0.000657963
22,687.373,1.25327,1.11481,1.25427,0.72729,0.56982,0.65492,0.39966,1.29765,1.09034,1.28249,0.000628101,0.000628101,0.000628101
23,718.218,1.24051,1.0872,1.25277,0.70136,0.57302,0.64939,0.39982,1.28469,1.08235,1.28154,0.000597754,0.000597754,0.000597754
24,748.911,1.21823,1.06714,1.23727,0.6884,0.58991,0.65286,0.41092,1.26974,1.05866,1.27458,0.00056704,0.00056704,0.00056704
25,779.857,1.2124,1.07035,1.238,0.70524,0.59201,0.65759,0.41133,1.25068,1.05182,1.25118,0.000536081,0.000536081,0.000536081
26,810.438,1.21595,1.05239,1.22748,0.74248,0.57071,0.66785,0.41844,1.25295,1.04135,1.26133,0.000505,0.000505,0.000505
27,841.179,1.18868,1.039,1.21967,0.74043,0.58419,0.6777,0.42159,1.25156,1.02335,1.26245,0.000473919,0.000473919,0.000473919
28,872.146,1.17875,1.00867,1.2104,0.70298,0.60657,0.6765,0.42742,1.24319,1.00845,1.2485,0.00044296,0.00044296,0.00044296
29,903.745,1.17081,1.0031,1.20638,0.76641,0.57325,0.68258,0.42627,1.26412,1.02075,1.25855,0.000412246,0.000412246,0.000412246
30,934.499,1.17158,0.99654,1.20052,0.74685,0.58974,0.67655,0.42084,1.25102,1.02681,1.25438,0.000381899,0.000381899,0.000381899
31,965.593,1.15584,0.98552,1.19795,0.74494,0.59285,0.68535,0.43055,1.23917,0.99447,1.24804,0.000352037,0.000352037,0.000352037
32,996.633,1.14289,0.97665,1.19211,0.76931,0.60608,0.70075,0.44232,1.22982,0.9802,1.24241,0.000322778,0.000322778,0.000322778
33,1027.42,1.12687,0.95005,1.18306,0.75126,0.60608,0.68766,0.43338,1.25088,0.98775,1.25092,0.000294239,0.000294239,0.000294239
34,1058.72,1.12564,0.95022,1.17781,0.77408,0.59677,0.69744,0.44114,1.22934,0.97584,1.23372,0.000266532,0.000266532,0.000266532
35,1090.16,1.11906,0.92926,1.17492,0.77952,0.60118,0.69932,0.44045,1.23108,0.97086,1.24242,0.000239766,0.000239766,0.000239766
36,1121.25,1.1188,0.93536,1.17302,0.74926,0.61636,0.69805,0.4431,1.21841,0.95858,1.23714,0.000214046,0.000214046,0.000214046
37,1151.84,1.10582,0.92073,1.16903,0.78208,0.61049,0.7051,0.44963,1.2208,0.93601,1.22932,0.000189475,0.000189475,0.000189475
38,1182.91,1.09799,0.90757,1.15613,0.77331,0.6144,0.70283,0.44774,1.21932,0.93845,1.22857,0.000166149,0.000166149,0.000166149
39,1213.63,1.09219,0.90484,1.15957,0.77423,0.60989,0.70819,0.45239,1.20903,0.93647,1.22862,0.000144161,0.000144161,0.000144161
40,1244.21,1.08321,0.88947,1.15261,0.76109,0.62126,0.70872,0.45001,1.20902,0.92537,1.22877,0.000123596,0.000123596,0.000123596
41,1311.79,1.05709,0.83754,1.12361,0.77721,0.60608,0.69843,0.44521,1.21771,0.93906,1.23801,0.000104537,0.000104537,0.000104537
42,1342.27,1.03879,0.80234,1.11017,0.76765,0.61391,0.70143,0.45002,1.21042,0.91375,1.23081,8.70577e-05,8.70577e-05,8.70577e-05
43,1373.06,1.0318,0.79218,1.10506,0.77213,0.60931,0.70328,0.44861,1.21012,0.92191,1.22917,7.12282e-05,7.12282e-05,7.12282e-05
44,1403.73,1.02133,0.77033,1.09301,0.77577,0.6193,0.70644,0.4525,1.20749,0.91518,1.23093,5.71106e-05,5.71106e-05,5.71106e-05
45,1434.16,1.0142,0.7691,1.09501,0.78177,0.60902,0.70381,0.4542,1.20649,0.9141,1.23066,4.47606e-05,4.47606e-05,4.47606e-05
46,1464.34,1.01424,0.76946,1.09301,0.76814,0.61357,0.70311,0.45443,1.20189,0.91919,1.22711,3.4227e-05,3.4227e-05,3.4227e-05
47,1494.74,1.00171,0.75106,1.08642,0.77415,0.60853,0.70395,0.45282,1.20008,0.91687,1.22474,2.55513e-05,2.55513e-05,2.55513e-05
48,1525.57,1.00425,0.75304,1.09162,0.78188,0.61646,0.70639,0.45157,1.20813,0.92301,1.22999,1.87678e-05,1.87678e-05,1.87678e-05
49,1556.12,1.00342,0.75803,1.08946,0.76579,0.62028,0.70611,0.45286,1.20174,0.91444,1.22605,1.39032e-05,1.39032e-05,1.39032e-05
50,1586.55,1.0023,0.74941,1.08476,0.77118,0.61244,0.70384,0.45376,1.20147,0.9155,1.22773,1.09768e-05,1.09768e-05,1.09768e-05
