epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0305,1.37342,1.54837,1.32306,0.51432,0.34444,0.38664,0.20047,1.70773,1.99134,1.57916,0.0671755,0.00033156,0.00033156
2,68.0135,1.456,1.43698,1.38088,0.65513,0.47748,0.54525,0.30807,1.47083,1.4196,1.40951,0.0341749,0.000664244,0.000664244
3,99.8385,1.48218,1.44498,1.40097,0.58175,0.49584,0.54149,0.30222,1.51671,1.45037,1.44926,0.00117164,0.000994331,0.000994331
4,130.333,1.49564,1.45579,1.41017,0.62065,0.46056,0.52095,0.27914,1.60895,1.48982,1.54176,0.000991232,0.000991232,0.000991232
5,161.029,1.45978,1.39921,1.39003,0.65145,0.51922,0.57242,0.32051,1.46409,1.39943,1.40653,0.000984449,0.000984449,0.000984449
6,192.277,1.43735,1.37763,1.38299,0.62222,0.488,0.54536,0.31093,1.47937,1.40489,1.43511,0.000975773,0.000975773,0.000975773
7,223.452,1.43351,1.35999,1.37116,0.65356,0.48804,0.5514,0.31554,1.50513,1.36436,1.43641,0.000965239,0.000965239,0.000965239
8,254.327,1.39942,1.31873,1.3613,0.64097,0.4831,0.54882,0.32047,1.43606,1.36125,1.37264,0.000952889,0.000952889,0.000952889
9,285.771,1.40285,1.31729,1.35218,0.67062,0.52327,0.58626,0.33157,1.41376,1.33671,1.36899,0.000938772,0.000938772,0.000938772
10,316.947,1.36113,1.27932,1.34275,0.67329,0.52915,0.59488,0.35078,1.39391,1.26668,1.3401,0.000922942,0.000922942,0.000922942
11,348.146,1.37208,1.27913,1.3366,0.68602,0.53013,0.60644,0.3546,1.40416,1.2469,1.34146,0.000905463,0.000905463,0.000905463
12,379.264,1.3638,1.24742,1.32391,0.68214,0.49976,0.57684,0.34799,1.38573,1.27577,1.34872,0.000886404,0.000886404,0.000886404
13,409.833,1.33546,1.23644,1.32074,0.69296,0.50367,0.58924,0.35479,1.36972,1.27366,1.33766,0.000865839,0.000865839,0.000865839
14,440.256,1.34056,1.22835,1.31298,0.67238,0.55757,0.61404,0.35981,1.37138,1.20598,1.34517,0.000843851,0.000843851,0.000843851
15,471.267,1.31657,1.21841,1.30369,0.69024,0.53934,0.61412,0.37128,1.32562,1.20635,1.31803,0.000820525,0.000820525,0.000820525
16,501.896,1.31308,1.20434,1.29212,0.6909,0.5848,0.6406,0.383,1.32926,1.15245,1.30792,0.000795954,0.000795954,0.000795954
17,532.518,1.30747,1.17895,1.2974,0.69093,0.56933,0.63703,0.39149,1.30714,1.13976,1.29852,0.000770234,0.000770234,0.000770234
18,563.702,1.28358,1.15559,1.27785,0.71966,0.54875,0.64021,0.38624,1.3276,1.14871,1.30225,0.000743468,0.000743468,0.000743468
